	CHANNEL	AIR_DATE	TIME	DURATION	REF_ID	TITLE	EVENT_NAT_DEF
31	TVBNews	2019-11-01	06:14:25	20	ATD1198445	EATING W/WISDOM(203&=A	Promo
32	TVBFIN	2019-11-01	06:14:33	30	M32650	MACAU GOV'T-66TH MACAU GRAND PRIX	Commercial
33	TVBNews	2019-11-01	06:14:45	15	CGNA008140	EASYONE:NEWS WATCH ENG	Promo
34	TVBNews	2019-11-01	06:15:00	30	S19567	SAMARITAN-ELDERLY SUICIDE      SA 31	API / GIS
35	TVBFIN	2019-11-01	06:15:03	30	S19567	SAMARITAN-ELDERLY SUICIDE      SA 31	API / GIS
36	TVBFIN	2019-11-01	06:15:33	20	ATD1198445	EATING W/WISDOM(203&=A	Promo
37	J2	2019-11-01	06:27:05	15	BUDA325441	BIG BOYS(M-FRI(A	Promo
38	J2	2019-11-01	06:27:20	10	JGN9207334	LEGO:NINJAGO(1000&-	Promo
39	J2	2019-11-01	06:27:30	10	BGNA386431	KUONI:HIP-SCAN(203=A	Promo
40	TVBNews	2019-11-01	06:27:30	10	P16998	PRINCE J.& W SP:EARTH LIVE-B.B.	Commercial
41	J2	2019-11-01	06:27:40	30	F41225	FEHD-WATER SEEPAGE             FH 56	API / GIS
42	TVBNews	2019-11-01	06:27:40	10	L08076	LONADERM CREAM	Commercial
43	TVBNews	2019-11-01	06:27:50	5	N10263	NESTLE-NAN PRO HMO MILK POWDER	Commercial
44	TVBNews	2019-11-01	06:27:55	20	K07973	KELVIN GIORMANI SOFA	Commercial
45	TVBFIN	2019-11-01	06:28:03	10	GDP	WISE TIPS	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
46	J2	2019-11-01	06:28:10	15	JTDA696445	ROLEX:SPIRIT(TD200(C(A	Promo
47	TVBFIN	2019-11-01	06:28:13	20	JTD9662910	FARAWAY BRIDES-&=A	Promo
48	TVBNews	2019-11-01	06:28:15	20	JTD9662910	FARAWAY BRIDES-&=A	Promo
49	TVBFIN	2019-11-01	06:28:33	20	JUD9696944	SKIN BIOTICS:FUN AB&=A	Promo
50	TVBNews	2019-11-01	06:28:35	10	AGN0898036	PARIBAS:WAR(LB(0945-=N	Promo
51	TVBNews	2019-11-01	06:28:45	20	JGNA077001	SHOWER(SUN 1530)(LB(C	Promo
52	TVBFIN	2019-11-01	06:28:53	15	K07889	KENGOSTORE.COM #B	Commercial
53	TVBNews	2019-11-01	06:29:05	15	JUD9280444	ZURICH W:FIN MAG-=	Promo
54	TVBFIN	2019-11-01	06:29:08	15	S19666	SHAMSHUIPO CELEBRATION-TVB WEEKLY	Commercial
55	TVBNews	2019-11-01	06:29:20	30	AGT1078445	GREAT WALL(1830-&=A	Promo
56	TVBFIN	2019-11-01	06:29:23	30	F41225	FEHD-WATER SEEPAGE             FH 56	API / GIS
57	TVBNews	2019-11-01	06:29:50	10	CGN0005341	CENTRO:GLOBAL(M-F)2240	Promo
58	TVBFIN	2019-11-01	06:29:53	20	ATD0985844	SUCCESS CA(213/22-&=A	Promo
59	TVBFIN	2019-11-01	06:30:13	10	AID0001210	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
60	J2	2019-11-01	06:38:42	20	BUDA266944	YOUNG(CJ)M,T,T,F2135=A	Promo
61	J2	2019-11-01	06:39:02	20	JIM0234029	52 ANN(DOG-&=	Promo
62	J2	2019-11-01	06:39:22	15	S19666	SHAMSHUIPO CELEBRATION-TVB WEEKLY	Commercial
63	J2	2019-11-01	06:39:37	20	JTDA844445	HEROES SURV(TD213(C(A	Promo
64	TVBFIN	2019-11-01	06:41:23	10	GDP	JAPAN VIDEO TOPICS	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
65	TVBFIN	2019-11-01	06:41:33	20	JUD9805002	PORTUGUESE AR W-&=A	Promo
66	TVBNews	2019-11-01	06:42:06	15	E07674	ELEPHANT CLUB	Commercial
67	TVBNews	2019-11-01	06:42:21	20	A10555	ANLENE MILK POWDER	Commercial
68	TVBNews	2019-11-01	06:42:41	30	I06914	I-AUTO MALL	Commercial
69	TVBNews	2019-11-01	06:43:11	20	ATD0985844	SUCCESS CA(213/22-&=A	Promo
70	TVBNews	2019-11-01	06:43:31	90	JIM0234020	52 ANN(MEMORY-&=	Promo
71	TVBNews	2019-11-01	06:45:01	10	AGN1184396	HAITONG:WARRANT(1055-=	Promo
72	TVBNews	2019-11-01	06:45:11	10	BGTA407435	SUGARHOLICTAIWAN(190=A	Promo
73	TVBNews	2019-11-01	06:45:21	15	CGNA047341	LONGJIANG:NEW VISION	Promo
74	TVBNews	2019-11-01	06:45:36	30	F41225	FEHD-WATER SEEPAGE             FH 56	API / GIS
75	TVBFIN	2019-11-01	06:47:33	10	GDP	FINANCIAL FOCUS	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
76	TVBFIN	2019-11-01	06:47:43	20	AUD1101944	DOLCE VITA(2330-=A	Promo
77	TVBFIN	2019-11-01	06:48:03	10	CGNA045266	HKFI:WELLNESS EXPRESS	Promo
78	TVBFIN	2019-11-01	06:48:13	15	C22849	CHINESE ESSENCE HAIR CARE	Commercial
79	TVBFIN	2019-11-01	06:48:28	30	AGT1078445	GREAT WALL(1830-&=A	Promo
80	TVBFIN	2019-11-01	06:48:58	10	AID0001210	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
81	J2	2019-11-01	06:51:27	10	GDP	OWN SWEET HOME	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
82	J2	2019-11-01	06:51:37	10	BGTA407435	SUGARHOLICTAIWAN(190=A	Promo
83	J2	2019-11-01	06:51:47	30	AUD1069444	LEADER(2030-&=A	Promo
84	J2	2019-11-01	06:52:17	20	JTD9662910	FARAWAY BRIDES-&=A	Promo
85	TVBNews	2019-11-01	06:55:40	30	J04224	JETOUR TRAVEL	Commercial
86	TVBNews	2019-11-01	06:56:10	30	U04018	UNITED ASIA FINANCE-I5	Commercial
87	TVBNews	2019-11-01	06:56:40	20	JTDA844445	HEROES SURV(TD213(C(A	Promo
88	TVBNews	2019-11-01	06:57:00	120	JIM0234021	52 ANN(MEMORY-&=	Promo
89	TVBNews	2019-11-01	06:59:00	30	AGT1186002	CULINARY(193/23-&=A	Promo
90	TVBNews	2019-11-01	06:59:30	10	CGNA015011	RICHFIELD:NEWS FILE	Promo
91	J2	2019-11-01	06:59:56	5	BANA004005	ANN(PROG END-GN)	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
92	J2	2019-11-01	07:00:01	10	GDP	WHILE YOU WERE SLEEPING	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
93	J2	2019-11-01	07:00:11	20	BTDA401445	HKJC-HORIZON(J2)2605=	Promo
94	J2	2019-11-01	07:00:31	20	JUD1448441	COSMOS:YAN OI-&=A	Promo
95	TVBFIN	2019-11-01	07:00:38	10	GDP	GLIMPSE OF PARADISE, A	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
96	TVBFIN	2019-11-01	07:00:48	30	AGT1186002	CULINARY(193/23-&=A	Promo
97	J2	2019-11-01	07:00:51	10	S19594	SUPPORT HK-ARTISTS-#6	Commercial
98	J2	2019-11-01	07:01:01	5	I07191	IDEAS FOR HK	Commercial
99	J2	2019-11-01	07:01:06	20	E07778	EXCAUGH	Commercial
100	TVBFIN	2019-11-01	07:01:18	10	H16474	HOTELS COMBINED.COM	Commercial
101	J2	2019-11-01	07:01:26	20	JUDA842451	BEN FOGLE:RE(MON213(C(	Promo
102	TVBFIN	2019-11-01	07:01:28	15	C22121	CENTRO	Commercial
103	TVBFIN	2019-11-01	07:01:43	20	JIM0234030	52 ANN(DRAGON BOAT-&=	Promo
104	J2	2019-11-01	07:01:46	10	BIDA001002	"STATION ID(10"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
105	J2	2019-11-01	07:01:56	3	BANA004910	INDIRECT AD	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
106	J2	2019-11-01	07:01:59	10	BANA002005	LANG ANN(IN CANT/KOR)	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
107	TVBFIN	2019-11-01	07:02:03	10	AID0001210	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
108	J2	2019-11-01	07:02:09	6	GDP	DISTURBING & UNDESIRABLE BEHAVIOUR	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
109	TVBFIN	2019-11-01	07:02:13	3	AAN0005012	INDIRECT AD WARNING	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
110	TVBNews	2019-11-01	07:11:25	30	R07968	ROYAL MEDIC-CS4-MANNINGS	Commercial
111	TVBNews	2019-11-01	07:11:55	20	G07358	GIORMANI-SESAME STREET-LAST 3 DAY	Commercial
112	TVBNews	2019-11-01	07:12:15	20	A10555	ANLENE MILK POWDER	Commercial
113	TVBNews	2019-11-01	07:12:35	5	B10556	BLESS DR.DETOX	Commercial
114	TVBNews	2019-11-01	07:12:40	20	JTD9929445	KONEW:MAN WHO KILL-&=A	Promo
115	TVBNews	2019-11-01	07:13:00	30	AGN1196432	LEEMANSAN:BATTLE(193=A	Promo
116	TVBNews	2019-11-01	07:13:30	30	JGNA596357	OPEN U-KNOWLEDGE(09(C	Promo
117	TVBFIN	2019-11-01	07:13:55	20	JTD9929445	KONEW:MAN WHO KILL-&=A	Promo
118	TVBNews	2019-11-01	07:14:00	20	JUD9701943	KAIPO:HOME FLAVORS-&=A	Promo
119	TVBFIN	2019-11-01	07:14:15	15	JUD9279444	NEWS MAG-=	Promo
120	TVBNews	2019-11-01	07:14:20	30	AUD1069444	LEADER(2030-&=A	Promo
121	TVBFIN	2019-11-01	07:14:30	15	H17160	HONG WAH PROPERTY	Commercial
122	TVBFIN	2019-11-01	07:14:45	5	H17404	HIN SANG HONG COUGH RELIEVE	Commercial
123	TVBNews	2019-11-01	07:14:50	10	BGN0668942	SWEET:RUNNINGM(CJ)21=A	Promo
124	TVBFIN	2019-11-01	07:14:50	15	I07192	IDEAS FOR HK	Commercial
125	TVBNews	2019-11-01	07:15:00	15	JTDA696445	ROLEX:SPIRIT(TD200(C(A	Promo
126	TVBFIN	2019-11-01	07:15:05	30	A10554	AQ BIO SANITIZER	Commercial
127	TVBNews	2019-11-01	07:15:15	10	CGNA032931	HK JOCKEY:SPORTSPEDIA	Promo
128	TVBFIN	2019-11-01	07:15:35	15	H16757	HOTELS COMBINED.COM	Commercial
129	TVBFIN	2019-11-01	07:15:50	10	U03957	UBS SP:WARRANTS PROMO. AD	Commercial
130	TVBFIN	2019-11-01	07:16:00	60	P16996	PA-2019 POLICY ADDRESS(LAND    PA 70	API / GIS
131	TVBFIN	2019-11-01	07:17:00	25	JUD1448007	COSMOS:YAN OI-&=A	Promo
132	J2	2019-11-01	07:17:05	20	BLHA419001	ASIA'S APPETIZ(1930=A	Promo
133	J2	2019-11-01	07:17:25	20	JUD9696944	SKIN BIOTICS:FUN AB&=A	Promo
134	J2	2019-11-01	07:17:45	20	N10320	NIVEA BODY LOTION	Commercial
135	J2	2019-11-01	07:18:05	20	E07778	EXCAUGH	Commercial
136	J2	2019-11-01	07:18:25	15	I07039	I CHOICE #P.LOAN	Commercial
137	J2	2019-11-01	07:18:40	10	B10584	BIG B.S.-BIG LINE HOLIDAY	Commercial
138	J2	2019-11-01	07:18:50	20	R07977	REDOXON	Commercial
139	J2	2019-11-01	07:19:10	60	P16996	PA-2019 POLICY ADDRESS(LAND    PA 70	API / GIS
140	J2	2019-11-01	07:20:10	10	BGTA395435	GAINFULL:SEE(CJ)2100=A	Promo
141	TVBNews	2019-11-01	07:26:10	10	P16998	PRINCE J.& W SP:EARTH LIVE-B.B.	Commercial
142	TVBNews	2019-11-01	07:26:20	20	E07743	ETC FINANCE-FEMALE	Commercial
143	TVBNews	2019-11-01	07:26:40	5	N10263	NESTLE-NAN PRO HMO MILK POWDER	Commercial
144	TVBNews	2019-11-01	07:26:45	15	H17030	HOUSE 101	Commercial
145	TVBNews	2019-11-01	07:27:00	10	CGNA038351	BLESS TEA:MOBSERVATORY	Promo
146	TVBNews	2019-11-01	07:27:10	20	JGT7113444	YOU'RE HIRED(2350-&=A	Promo
147	TVBNews	2019-11-01	07:27:30	10	AGN1197421	WELL LINK:CHI ARC(19&=	Promo
148	TVBNews	2019-11-01	07:27:40	20	BUDA405441	ALL THINGS(MTTF2205A	Promo
149	TVBNews	2019-11-01	07:28:00	30	AUD1185443	INSIDE STORM II(193-=A	Promo
150	TVBNews	2019-11-01	07:28:30	10	BGNA370447	AIRLAND:OWN HOME(CJ)=A	Promo
151	TVBNews	2019-11-01	07:28:40	20	JUDA860453	LOVING:CLIM(WED213(C(A	Promo
152	TVBFIN	2019-11-01	07:28:45	20	ATD1198445	EATING W/WISDOM(203&=A	Promo
153	TVBNews	2019-11-01	07:29:00	10	CGNA022261	GLORY:SZ-HK-SH 095,152	Promo
154	TVBFIN	2019-11-01	07:29:05	20	JUD0115744	JSG-A	Promo
155	TVBNews	2019-11-01	07:29:10	60	P16996	PA-2019 POLICY ADDRESS(LAND    PA 70	API / GIS
156	TVBFIN	2019-11-01	07:29:25	20	C22385	CREDIT ONE FINANCE	Commercial
157	TVBFIN	2019-11-01	07:29:45	30	R07968	ROYAL MEDIC-CS4-MANNINGS	Commercial
158	TVBFIN	2019-11-01	07:30:15	10	M32731	MYTV SUPER-18 HIT RATE           4-830	Commercial
159	J2	2019-11-01	07:30:16	10	BGTA362435	FASHION LIFE(FRI1930=A	Promo
160	TVBFIN	2019-11-01	07:30:25	15	C22121	CENTRO	Commercial
161	J2	2019-11-01	07:30:26	20	BUDA405441	ALL THINGS(MTTF2205A	Promo
162	TVBFIN	2019-11-01	07:30:40	15	E07766	EXPEDIA.COM	Commercial
163	J2	2019-11-01	07:30:46	20	E07778	EXCAUGH	Commercial
164	TVBFIN	2019-11-01	07:30:55	15	I07193	IDEAS FOR HK	Commercial
165	J2	2019-11-01	07:31:06	30	E07767	EXPEDIA.COM	Commercial
166	TVBFIN	2019-11-01	07:31:10	15	A10473	ALLERGIC RHINITIS NOSE DROPS	Commercial
167	TVBFIN	2019-11-01	07:31:25	20	ATD0985844	SUCCESS CA(213/22-&=A	Promo
168	J2	2019-11-01	07:31:36	20	P16989	PROMISE FINANCE #BCO	Commercial
169	J2	2019-11-01	07:31:56	15	S19477	SEVEN SEAS JOINT CARE	Commercial
170	J2	2019-11-01	07:32:11	20	R07977	REDOXON	Commercial
171	J2	2019-11-01	07:32:31	15	JTD9988445	BILLION PROP:LO&BE-&=A	Promo
172	TVBNews	2019-11-01	07:40:39	10	5CIW501	INTERNATIONAL WEATHER FORECAST	Commercial
173	TVBNews	2019-11-01	07:40:49	5	C22719	CORELLE-INT'L WEATHER UPDATE	Commercial
174	TVBNews	2019-11-01	07:40:54	30	S19551	SEIKO WATCH-GRAND	Commercial
175	TVBNews	2019-11-01	07:41:24	15	JUD9280444	ZURICH W:FIN MAG-=	Promo
176	TVBNews	2019-11-01	07:41:39	6	COP0003191	AIRLAND:TRAFFIC(OPENID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
177	TVBFIN	2019-11-01	07:42:06	20	JTD9886445	FINDING VOICE-&=A	Promo
178	TVBFIN	2019-11-01	07:42:26	20	JIM0234023	52 ANN(FOODCOURT-&=	Promo
179	TVBFIN	2019-11-01	07:42:46	30	T17331	TAISHAN CHARITABLE ASS #4	Commercial
180	TVBFIN	2019-11-01	07:43:16	10	B09199	BNP SP:WARRANTS PROMO	Commercial
181	TVBFIN	2019-11-01	07:43:26	15	M32023	MAX CHOICE-BLACK MACA	Commercial
182	TVBFIN	2019-11-01	07:43:41	15	T18722	TIAN YUAN XIANG-CHICKEN ESSENCE	Commercial
183	TVBNews	2019-11-01	07:43:42	10	A10354	AIRLAND SP:TRAFFIC REPORT B.B.	Commercial
184	J2	2019-11-01	07:43:44	10	BGNA370447	AIRLAND:OWN HOME(CJ)=A	Promo
185	TVBNews	2019-11-01	07:43:52	30	C22519	CHIMELONG OCEAN-ZHUHAI	Commercial
186	J2	2019-11-01	07:43:54	10	BUDA416002	GROWING UP(SUN1835A	Promo
187	TVBFIN	2019-11-01	07:43:56	15	H16889	28HSE.COM	Commercial
188	J2	2019-11-01	07:44:04	20	JUD9701943	KAIPO:HOME FLAVORS-&=A	Promo
189	TVBFIN	2019-11-01	07:44:11	30	K08043	KOREA TOURISM ORGANIZATION       NDL	Commercial
190	TVBNews	2019-11-01	07:44:22	5	B10565	BLESS JUICE (AIRPORT)	Commercial
191	J2	2019-11-01	07:44:24	60	U04023	UNITED NATION HIGH COM.REFUGEE	Commercial
192	TVBNews	2019-11-01	07:44:27	10	CGNA051401	HAITONG:FINANCIAL NEWS	Promo
193	TVBNews	2019-11-01	07:44:37	20	BTDA362435	FASHION LIFE(FRI1930=A	Promo
194	TVBFIN	2019-11-01	07:44:41	15	I07039	I CHOICE #P.LOAN	Commercial
195	TVBFIN	2019-11-01	07:44:56	10	M32761	MAX CHOICE-CORDYCEPS	Commercial
196	TVBNews	2019-11-01	07:44:57	15	JUD9281441	SUN REPORT-=	Promo
197	TVBFIN	2019-11-01	07:45:06	20	JUD9701943	KAIPO:HOME FLAVORS-&=A	Promo
198	TVBNews	2019-11-01	07:45:12	10	AGN1116005	GREAT RAILWAY V(183-=A	Promo
199	TVBNews	2019-11-01	07:45:22	30	JCP0366421	ANN DRAMA CP-&=A	Promo
200	J2	2019-11-01	07:45:24	15	H16757	HOTELS COMBINED.COM	Commercial
201	J2	2019-11-01	07:45:39	20	R07977	REDOXON	Commercial
202	TVBNews	2019-11-01	07:45:52	20	JGTA864445	JAMIE FAM(TD203(C(A	Promo
203	J2	2019-11-01	07:45:59	15	F44149	FILM:ADDAMS FAMILY-TD (IIA)      4-830	Commercial
204	TVBNews	2019-11-01	07:46:12	10	CGNA044214	SOCIETE:ECONOMICS	Promo
205	J2	2019-11-01	07:46:14	15	I07039	I CHOICE #P.LOAN	Commercial
206	J2	2019-11-01	07:46:29	15	A10473	ALLERGIC RHINITIS NOSE DROPS	Commercial
207	J2	2019-11-01	07:46:44	10	BGNA414431	HEART SURGEONS(M-F(A	Promo
208	TVBNews	2019-11-01	07:47:22	10	B10456	BOC LIFE PR:INT'L NEWS FILE	Commercial
209	TVBNews	2019-11-01	07:47:32	10	JUD9758442	CH OILFIELD:ERA(193-&=	Promo
210	TVBNews	2019-11-01	07:55:40	10	M31599	MA SAI L.TONG WOOD LOK OIL-WATSON	Commercial
211	TVBNews	2019-11-01	07:55:50	20	G07358	GIORMANI-SESAME STREET-LAST 3 DAY	Commercial
212	TVBFIN	2019-11-01	07:55:51	10	GDP	CENTALINE PROPERTY:A PROPERTY A DAY	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
213	TVBFIN	2019-11-01	07:56:01	10	G@WGJ1	WEATHER CHECK (PROMISE)	Info Service Count as Program Time
214	TVBNews	2019-11-01	07:56:10	20	BTDA186435	STIEBEL:THAI(CJ)2030=A	Promo
215	TVBFIN	2019-11-01	07:56:11	4	P16991	PROMISE-WEATHER CHECK	Commercial
216	TVBFIN	2019-11-01	07:56:16	20	P16972	PROMISE FINANCE #CFO	Commercial
217	J2	2019-11-01	07:56:17	10	GDP	OWN SWEET HOME	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
218	J2	2019-11-01	07:56:27	20	BUDA297944	TV CHAMPION III(1835A	Promo
219	TVBNews	2019-11-01	07:56:30	20	JUD9484444	DO DID EAT-&=A	Promo
220	TVBFIN	2019-11-01	07:56:36	20	JTD9662910	FARAWAY BRIDES-&=A	Promo
221	J2	2019-11-01	07:56:47	20	JTD9929445	KONEW:MAN WHO KILL-&=A	Promo
222	TVBNews	2019-11-01	07:56:50	20	AGN1099441	37TH GYM(1430-=A	Promo
223	TVBFIN	2019-11-01	07:56:56	20	JUD9484444	DO DID EAT-&=A	Promo
224	TVBNews	2019-11-01	07:57:10	120	JIM0234021	52 ANN(MEMORY-&=	Promo
225	TVBFIN	2019-11-01	07:57:16	15	W15764	WOOSANG DESIGN LTD.	Commercial
226	TVBFIN	2019-11-01	07:57:31	15	A10291	AGILE GARDEN-HUI YANG	Commercial
227	TVBFIN	2019-11-01	07:57:46	30	M32749	MACAU GOV'T-INT'L FILM FEST	Commercial
228	TVBFIN	2019-11-01	07:58:16	30	C22891	CHINA MERCHANTS GROUP	Commercial
229	TVBFIN	2019-11-01	07:58:46	10	B10542	BOCI SECURITIES-PROMO	Commercial
230	TVBFIN	2019-11-01	07:58:56	30	E07767	EXPEDIA.COM	Commercial
231	TVBNews	2019-11-01	07:59:10	15	CGNA008140	EASYONE:NEWS WATCH ENG	Promo
232	TVBNews	2019-11-01	07:59:25	3	B09991	BLESS JUICE-LOCAL TIME CHECK OP	Info Service Count as Program Time
233	TVBFIN	2019-11-01	07:59:26	30	AGT1078445	GREAT WALL(1830-&=A	Promo
234	TVBNews	2019-11-01	07:59:28	7	XPS	LOCAL TIME CHECK	Info Service Count as Program Time
235	TVBNews	2019-11-01	07:59:35	5	B09992	BLESS JUICE-LOCAL TIME CHECK-CL	Info Service Count as Program Time
236	TVBFIN	2019-11-01	07:59:56	5	AID0001205	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
237	J2	2019-11-01	08:00:57	5	BANA004005	ANN(PROG END-GN)	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
238	J2	2019-11-01	08:01:02	10	GDP	HEART SURGEONS	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
239	J2	2019-11-01	08:01:12	10	BGNA281436	OFF THE GRID(SAT2030=A	Promo
240	J2	2019-11-01	08:01:22	30	AUD1231444	FOOD DELI(193-&=A	Promo
241	J2	2019-11-01	08:01:52	20	N10320	NIVEA BODY LOTION	Commercial
242	J2	2019-11-01	08:02:12	30	M32650	MACAU GOV'T-66TH MACAU GRAND PRIX	Commercial
243	J2	2019-11-01	08:02:42	20	C22879	COLTAIN HOT REMEDY	Commercial
244	J2	2019-11-01	08:03:02	30	H17270	HONG LEONG INSURANCE #DOMESTIC	Commercial
245	J2	2019-11-01	08:03:32	10	H16474	HOTELS COMBINED.COM	Commercial
246	J2	2019-11-01	08:03:42	20	JTD9886445	FINDING VOICE-&=A	Promo
247	J2	2019-11-01	08:04:02	5	BIDA001001	"STATION ID(5"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
248	J2	2019-11-01	08:04:07	3	BANA004910	INDIRECT AD	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
249	J2	2019-11-01	08:04:10	10	BANA002005	LANG ANN(IN CANT/KOR)	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
250	J2	2019-11-01	08:04:20	6	GDP	DISTURBING	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
251	TVBFIN	2019-11-01	08:11:46	20	ATD1198445	EATING W/WISDOM(203&=A	Promo
252	TVBFIN	2019-11-01	08:12:06	15	S19441	SAFE GOLD SECURIT & FUTURE	Commercial
253	TVBFIN	2019-11-01	08:12:21	15	V04069	VITA GREEN-LINGZHI	Commercial
254	TVBFIN	2019-11-01	08:12:36	10	T17326	TAISHAN CHARITABLE ASS #4	Commercial
255	TVBFIN	2019-11-01	08:12:46	15	J04025	JENFORT WATER HEATER	Commercial
256	TVBFIN	2019-11-01	08:13:01	15	C22121	CENTRO	Commercial
257	TVBFIN	2019-11-01	08:13:16	15	E07772	EXPEDIA.COM	Commercial
258	TVBNews	2019-11-01	08:13:20	5	B10563	BLESS ORANGE JUICE	Commercial
